0.22400E-05 0.40847E-08 0.00000E+01 190530 0 0 10288 0.45890E+10 0.00000E+01 0.22400E-05 0.00000E+01 0.00000E+01 0
1 2.2465e-06 3.7845e-08 1.1021 1.1554e-05 2.2465e-06
2 2.2512e-06 1.6192e-08 0.66545 6.9207e-06 2.2512e-06
3 2.243e-06 7.5359e-09 0.43961 4.4793e-06 2.243e-06
4 2.2558e-06 3.8433e-08 1.1146 1.13e-05 2.2558e-06
5 2.236e-06 1.6089e-08 0.66571 6.0806e-06 2.236e-06
6 2.2472e-06 7.5893e-09 0.44188 4.816e-06 2.2472e-06
7 2.2679e-06 3.6969e-08 1.0664 1.1708e-05 2.2679e-06
8 2.236e-06 1.5917e-08 0.6586 6.714e-06 2.236e-06
9 2.2405e-06 7.6052e-09 0.44414 4.6776e-06 2.2405e-06
10 2.2784e-06 3.9969e-08 1.1477 1.499e-05 2.2784e-06
11 2.2381e-06 1.6548e-08 0.68406 6.7592e-06 2.2381e-06
12 2.2478e-06 7.947e-09 0.4626 4.9139e-06 2.2478e-06
13 2.2998e-06 3.8672e-08 1.1001 1.186e-05 2.2998e-06
14 2.2588e-06 1.6064e-08 0.65797 6.6314e-06 2.2588e-06
15 2.2493e-06 7.6584e-09 0.44549 4.6161e-06 2.2493e-06
16 2.2073e-06 1.1991e-07 2.5131 4.0965e-05 2.2073e-06
17 2.1819e-06 3.7371e-08 1.1205 1.2566e-05 2.1819e-06
18 2.2295e-06 1.6627e-08 0.68999 6.5949e-06 2.2295e-06
19 2.2808e-06 1.2325e-07 2.4998 4.1991e-05 2.2808e-06
20 2.167e-06 3.7268e-08 1.1252 1.2335e-05 2.167e-06
21 2.2381e-06 1.6323e-08 0.67478 7.2897e-06 2.2381e-06
<lo_statistics>
<cumulated_time> 5.171105999999999 </cumulated_time>
</lo_statistics>
