0.22468E-05 0.57149E-08 0.00000E+01 115644 0 0 6599 0.29370E+10 0.00000E+01 0.22468E-05 0.00000E+01 0.00000E+01 0
1 2.4218e-06 1.1162e-07 2.4178 4.2393e-05 2.4218e-06
2 2.2536e-06 3.3063e-08 1.0884 1.3428e-05 2.2536e-06
3 2.2509e-06 1.4174e-08 0.66068 6.3452e-06 2.2509e-06
4 2.2671e-06 1.083e-07 2.506 4.1679e-05 2.2671e-06
5 2.2108e-06 3.265e-08 1.0957 1.0725e-05 2.2108e-06
6 2.2523e-06 1.4405e-08 0.67105 6.834e-06 2.2523e-06
7 2.4449e-06 1.1367e-07 2.4389 4.049e-05 2.4449e-06
8 2.2556e-06 3.3302e-08 1.0954 1.0343e-05 2.2556e-06
9 2.2374e-06 1.4042e-08 0.65845 6.0653e-06 2.2374e-06
10 2.2145e-06 1.0656e-07 2.5243 4.0963e-05 2.2145e-06
11 2.2516e-06 3.4022e-08 1.121 1.2459e-05 2.2516e-06
12 2.2502e-06 1.4402e-08 0.6715 6.628e-06 2.2502e-06
13 2.1077e-06 1.011e-07 2.5162 4.1223e-05 2.1077e-06
14 2.2457e-06 3.4654e-08 1.1448 1.2376e-05 2.2457e-06
15 2.2339e-06 1.4713e-08 0.69102 6.7523e-06 2.2339e-06
16 2.2977e-06 1.0882e-07 2.4845 4.1089e-05 2.2977e-06
17 2.2344e-06 3.3367e-08 1.1079 1.3411e-05 2.2344e-06
18 2.2566e-06 1.44e-08 0.66954 7.0694e-06 2.2566e-06
<lo_statistics>
<cumulated_time> 3.539744 </cumulated_time>
</lo_statistics>
